gender,accum_visits,accum_days,accum_subs,accum_pages,accum_onsite,accum_entered,accum_completed,completed_holiday,visit_cycle,purchase_cycle,purchase_freq,pages_per_visit,onsite_per_visit,churn
M,11,101,4,56,160,9,6,1,9.18,16.83,1.83,5.09,14.55,1
F,45,1021,34,215,393,37,19,8,22.69,53.74,2.37,4.78,8.73,1
F,52,580,20,255,432,38,29,11,11.15,20,1.79,4.9,8.31,1
F,17,50,2,115,248,17,14,2,2.94,3.57,1.21,6.76,14.59,0
F,31,253,9,174,283,29,20,6,8.16,12.65,1.55,5.61,9.13,0
M,17,522,18,76,107,13,8,3,30.71,65.25,2.12,4.47,6.29,1
M,33,688,23,150,233,23,13,8,20.85,52.92,2.54,4.55,7.06,0
F,30,421,14,167,304,21,16,5,14.03,26.31,1.88,5.57,10.13,1
F,78,1101,37,377,511,57,44,21,14.12,25.02,1.77,4.83,6.55,1
M,17,515,17,69,111,10,8,3,30.29,64.38,2.12,4.06,6.53,1
F,7,21,1,47,77,6,6,1,3,3.5,1.17,6.71,11,0
M,35,498,17,159,153,27,17,8,14.23,29.29,2.06,4.54,4.37,1
F,7,7,1,56,57,7,7,0,1,1,1,8,8.14,0
F,30,463,16,163,408,20,17,5,15.43,27.24,1.76,5.43,13.6,1
F,17,118,4,99,152,13,11,3,6.94,10.73,1.55,5.82,8.94,1
M,29,665,22,151,265,23,12,6,22.93,55.42,2.42,5.21,9.14,0
F,49,660,22,254,480,37,28,15,13.47,23.57,1.75,5.18,9.8,1
F,99,1408,47,500,838,77,56,26,14.22,25.14,1.77,5.05,8.46,0
M,12,501,17,49,99,7,4,2,41.75,125.25,3,4.08,8.25,1
F,40,388,13,212,336,30,18,8,9.7,21.56,2.22,5.3,8.4,0
F,35,541,18,172,335,26,16,7,15.46,33.81,2.19,4.91,9.57,1
M,16,286,10,64,120,9,5,0,17.88,57.2,3.2,4,7.5,0
F,35,357,12,190,355,28,21,7,10.2,17,1.67,5.43,10.14,1
F,52,759,25,264,470,42,30,13,14.6,25.3,1.73,5.08,9.04,1
M,11,314,11,52,70,9,6,2,28.55,52.33,1.83,4.73,6.36,0
F,67,1075,36,327,507,51,34,18,16.04,31.62,1.97,4.88,7.57,1
M,58,1264,42,279,459,44,32,20,21.79,39.5,1.81,4.81,7.91,1
F,44,696,23,198,320,35,25,11,15.82,27.84,1.76,4.5,7.27,1
F,50,669,22,268,496,39,30,13,13.38,22.3,1.67,5.36,9.92,1
M,11,151,5,57,68,6,3,0,13.73,50.33,3.67,5.18,6.18,1
F,21,403,14,120,163,16,13,4,19.19,31,1.62,5.71,7.76,1
F,19,113,4,122,269,18,16,4,5.95,7.06,1.19,6.42,14.16,0
F,36,865,29,183,300,30,24,9,24.03,36.04,1.5,5.08,8.33,1
M,22,397,14,121,164,18,14,7,18.05,28.36,1.57,5.5,7.45,1
F,42,616,21,209,418,29,21,7,14.67,29.33,2,4.98,9.95,1
M,14,422,14,63,75,10,8,2,30.14,52.75,1.75,4.5,5.36,1
F,47,647,22,217,338,31,22,6,13.77,29.41,2.14,4.62,7.19,0
F,54,422,14,276,560,42,28,9,7.81,15.07,1.93,5.11,10.37,1
F,89,1113,37,417,798,69,49,19,12.51,22.71,1.82,4.69,8.97,1
M,11,170,6,53,74,9,5,2,15.45,34,2.2,4.82,6.73,0
F,118,1327,44,563,882,94,68,30,11.25,19.51,1.74,4.77,7.47,0
F,102,1138,38,493,769,81,52,24,11.16,21.88,1.96,4.83,7.54,0
F,60,633,21,286,439,41,29,15,10.55,21.83,2.07,4.77,7.32,0
F,26,288,10,128,294,20,14,5,11.08,20.57,1.86,4.92,11.31,1
F,34,616,21,175,352,26,20,5,18.12,30.8,1.7,5.15,10.35,1
F,17,416,14,85,134,14,9,2,24.47,46.22,1.89,5,7.88,1
F,117,1337,44,580,816,104,69,32,11.43,19.38,1.7,4.96,6.97,0
F,146,1315,44,713,1244,120,92,34,9.01,14.29,1.59,4.88,8.52,0
F,25,337,12,136,230,23,15,4,13.48,22.47,1.67,5.44,9.2,1
F,109,1131,38,532,907,81,57,27,10.38,19.84,1.91,4.88,8.32,0
F,22,395,13,103,221,16,14,3,17.95,28.21,1.57,4.68,10.05,1
F,78,808,27,389,720,63,45,21,10.36,17.96,1.73,4.99,9.23,0
F,80,962,32,385,682,66,43,19,12.03,22.37,1.86,4.81,8.53,1
F,44,543,18,246,324,39,26,11,12.34,20.88,1.69,5.59,7.36,0
F,103,1129,38,496,884,81,58,26,10.96,19.47,1.78,4.82,8.58,1
